iter	Passed	Remaining
408	2906	4200
409	2910	4188
410	2914	4176
411	2921	4168
412	2925	4157
413	2929	4146
414	2938	4142
415	2942	4130
416	2946	4119
417	2953	4112
418	2957	4101
419	2961	4089
420	2967	4081
421	2972	4071
422	2976	4060
423	2983	4052
424	2987	4041
425	2992	4031
426	2996	4021
427	3000	4010
428	3009	4006
429	3014	3995
430	3019	3985
431	3026	3978
432	3030	3968
433	3036	3960
434	3043	3952
435	3047	3942
436	3056	3937
437	3061	3928
438	3066	3918
439	3072	3910
440	3077	3900
441	3084	3894
442	3089	3884
443	3093	3873
444	3100	3866
445	3104	3856
446	3108	3845
447	3115	3839
448	3119	3828
449	3125	3819
450	3133	3814
451	3138	3804
452	3142	3794
453	3147	3785
454	3152	3776
455	3160	3770
456	3168	3764
457	3210	3799
458	3215	3789
459	3224	3785
460	3241	3789
461	3246	3781
462	3256	3777
463	3261	3767
464	3273	3766
465	3279	3757
466	3285	3750
467	3291	3741
468	3295	3731
469	3304	3725
470	3309	3716
471	3316	3709
472	3322	3701
473	3327	3692
474	3338	3690
475	3343	3680
476	3351	3675
477	3356	3665
478	3365	3660
479	3370	3651
480	3375	3642
481	3385	3638
482	3399	3638
483	3408	3633
484	3415	3626
485	3430	3628
486	3439	3623
487	3444	3613
488	3457	3613
489	3475	3617
490	3487	3615
491	3496	3610
492	3512	3612
493	3526	3612
494	3541	3613
495	3556	3613
496	3561	3604
497	3576	3604
498	3608	3623
499	3613	3613
500	3619	3605
501	3623	3594
502	3631	3588
503	3635	3577
504	3640	3568
505	3648	3561
506	3652	3551
507	3656	3541
508	3662	3533
509	3666	3523
510	3670	3512
511	3676	3504
512	3681	3494
513	3684	3484
514	3690	3475
515	3696	3467
516	3707	3463
517	3711	3453
518	3719	3446
519	3724	3437
520	3728	3428
521	3737	3422
522	3741	3412
523	3745	3402
524	3754	3396
525	3758	3386
526	3765	3380
527	3770	3370
528	3774	3360
529	3781	3353
530	3789	3346
531	3798	3341
532	3802	3331
533	3806	3321
534	3813	3314
535	3818	3305
536	3823	3296
537	3832	3291
538	3836	3281
539	3844	3275
540	3848	3265
541	3852	3255
542	3859	3248
543	3863	3238
544	3867	3229
545	3874	3222
546	3879	3212
547	3883	3203
548	3888	3194
549	3893	3185
550	3898	3176
551	3905	3169
552	3910	3160
553	3916	3152
554	3924	3147
555	3929	3137
556	3938	3132
557	3943	3123
558	3946	3113
559	3954	3107
560	3959	3098
561	3967	3092
562	3971	3082
563	3976	3073
564	3984	3068
565	3991	3060
566	4000	3054
567	4004	3045
568	4015	3041
569	4019	3032
570	4024	3023
571	4038	3021
572	4050	3018
573	4075	3024
574	4086	3020
575	4091	3011
576	4101	3007
577	4117	3006
578	4125	2999
579	4130	2991
580	4135	2982
581	4147	2978
582	4152	2969
583	4162	2964
584	4166	2955
585	4173	2948
586	4177	2939
587	4181	2929
588	4189	2923
589	4193	2914
590	4198	2905
591	4204	2897
592	4208	2888
593	4212	2879
594	4219	2872
595	4223	2863
596	4227	2854
597	4239	2849
598	4244	2841
599	4251	2834
600	4255	2825
601	4259	2816
602	4267	2809
603	4271	2800
604	4277	2792
605	4281	2783
606	4286	2775
607	4292	2767
608	4302	2762
609	4312	2757
610	4318	2749
611	4323	2741
612	4328	2732
613	4332	2723
614	4340	2717
615	4344	2708
616	4348	2699
617	4355	2692
618	4359	2683
619	4363	2674
620	4370	2667
621	4374	2658
622	4378	2649
623	4386	2643
624	4390	2634
625	4395	2626
626	4403	2619
627	4407	2610
628	4412	2602
629	4418	2594
630	4422	2586
631	4435	2582
632	4440	2574
633	4448	2568
634	4452	2559
635	4456	2550
636	4463	2543
637	4467	2534
638	4471	2525
639	4479	2519
640	4485	2511
641	4494	2506
642	4499	2498
643	4505	2490
644	4510	2482
645	4513	2473
646	4518	2465
647	4524	2457
648	4528	2449
649	4532	2440
650	4538	2433
651	4542	2424
652	4546	2415
653	4552	2408
654	4556	2399
655	4559	2391
656	4567	2384
657	4571	2375
658	4574	2367
659	4583	2361
660	4589	2353
661	4595	2346
662	4600	2338
663	4604	2329
664	4612	2323
665	4616	2315
666	4620	2306
667	4626	2299
668	4630	2290
669	4634	2282
670	4640	2275
671	4645	2267
672	4648	2258
673	4655	2251
674	4659	2243
675	4663	2235
676	4666	2226
677	4674	2219
678	4678	2211
679	4682	2203
680	4690	2197
681	4694	2188
682	4703	2183
683	4708	2175
684	4712	2167
685	4720	2160
686	4723	2152
687	4727	2144
688	4734	2137
689	4738	2128
690	4742	2120
691	4749	2114
692	4753	2105
693	4758	2097
694	4762	2089
695	4767	2082
696	4771	2074
697	4778	2067
698	4782	2059
699	4786	2051
700	4790	2043
701	4795	2035
702	4800	2027
703	4804	2019
704	4812	2013
705	4816	2005
706	4820	1997
707	4827	1990
708	4831	1982
709	4838	1976
710	4845	1969
711	4849	1961
712	4858	1955
713	4864	1948
714	4873	1942
715	4884	1937
716	4890	1930
717	4902	1925
718	4907	1917
719	4914	1911
720	4918	1903
721	4940	1902
722	4954	1898
723	4967	1893
724	4973	1886
725	4987	1882
726	4997	1876
727	5002	1869
728	5012	1863
729	5033	1861
730	5042	1855
731	5046	1847
732	5050	1839
733	5059	1833
734	5063	1825
735	5071	1819
736	5076	1811
737	5081	1803
738	5091	1798
739	5098	1791
740	5104	1784
741	5110	1776
742	5118	1770
743	5133	1766
744	5139	1759
745	5147	1752
746	5153	1745
747	5159	1738
748	5165	1731
749	5170	1723
750	5175	1715
751	5216	1720
752	5230	1715
753	5244	1711
754	5249	1703
755	5258	1697
756	5263	1689
757	5269	1682
758	5277	1675
759	5282	1668
760	5295	1662
761	5299	1655
762	5307	1648
763	5313	1641
764	5317	1633
765	5321	1625
766	5326	1618
767	5330	1610
768	5336	1603
769	5342	1595
770	5350	1589
771	5355	1581
772	5359	1573
773	5365	1566
774	5369	1558
775	5373	1551
776	5379	1543
777	5383	1536
778	5386	1528
779	5390	1520
780	5395	1513
781	5399	1505
782	5403	1497
783	5407	1489
784	5412	1482
785	5415	1474
786	5419	1466
787	5425	1459
788	5429	1451
789	5432	1444
790	5442	1437
791	5446	1430
792	5452	1423
793	5460	1416
794	5466	1409
795	5473	1402
796	5477	1395
797	5481	1387
798	5488	1380
799	5492	1373
800	5496	1365
801	5503	1358
802	5507	1351
803	5510	1343
804	5514	1335
805	5520	1328
806	5524	1321
807	5527	1313
808	5533	1306
809	5537	1299
810	5541	1291
811	5545	1284
812	5551	1276
813	5554	1269
814	5557	1261
815	5561	1254
816	5566	1246
817	5569	1239
818	5573	1231
819	5580	1224
820	5583	1217
821	5587	1210
822	5592	1202
823	5597	1195
824	5601	1188
825	5604	1180
826	5610	1173
827	5614	1166
828	5617	1158
829	5623	1151
830	5627	1144
831	5631	1137
832	5636	1130
833	5640	1122
834	5644	1115
835	5648	1108
836	5657	1101
837	5661	1094
838	5667	1087
839	5671	1080
840	5676	1073
841	5681	1066
842	5686	1059
843	5690	1051
844	5694	1044
845	5700	1037
846	5704	1030
847	5708	1023
848	5715	1016
849	5719	1009
850	5723	1002
851	5729	995
852	5734	988
853	5738	981
854	5745	974
855	5749	967
856	5753	960
857	5759	953
858	5764	946
859	5768	939
860	5777	932
861	5781	925
862	5786	918
